MATCH_ID,PLAYER_NAME,OPPONENT_TEAM,VENUE,MATCH_FORMAT,RUNS_SCORED,BALLS_FACED,FOURS,SIXES
1,SURYAKUMAR YADAV,AFGHANISTAN,ABU DHABI,T20I,0,0,0,0
2,SURYAKUMAR YADAV,AFGHANISTAN,DUBAI,T20I,6,2,0,1
3,SURYAKUMAR YADAV,AFGHANISTAN,BRIDGETOWN,T20I,53,28,5,3
4,SURYAKUMAR YADAV,AUSTRALIA,MOHALI,T20I,46,25,2,4
5,SURYAKUMAR YADAV,AUSTRALIA,NAGPUR,T20I,0,1,0,0
6,SURYAKUMAR YADAV,AUSTRALIA,HAYDERABAD,T20I,69,36,5,5
7,SURYAKUMAR YADAV,AUSTRALIA,VISAKHAPATNAM,T20I,80,42,9,4
8,SURYAKUMAR YADAV,AUSTRALIA,THIRUVANANTHAPURAM,T20I,19,10,0,2
9,SURYAKUMAR YADAV,AUSTRALIA,GUWAHATI,T20I,39,29,5,2
10,SURYAKUMAR YADAV,AUSTRALIA,RAIPUR,T20I,1,2,0,0
11,SURYAKUMAR YADAV,AUSTRALIA,BENGALURU,T20I,5,7,0,0
12,SURYAKUMAR YADAV,AUSTRALIA,GROS ISLET,T20I,31,16,3,2
13,SURYAKUMAR YADAV,AUSTRALIA,CANBERRA,T20I,39,24,3,2
14,SURYAKUMAR YADAV,AUSTRALIA,MELBOURNE,T20I,1,4,0,0
15,SURYAKUMAR YADAV,AUSTRALIA,HOBART,T20I,24,11,1,2
16,SURYAKUMAR YADAV,AUSTRALIA,CARRAR,T20I,20,10,0,2
17,SURYAKUMAR YADAV,BANGLADESH,ADELAIDE,T20I,30,16,4,0
18,SURYAKUMAR YADAV,BANGLADESH,NORTH SOUND,T20I,6,2,0,1
19,SURYAKUMAR YADAV,BANGLADESH,GWALIOR,T20I,29,14,2,3
20,SURYAKUMAR YADAV,BANGLADESH,DELHI,T20I,8,10,1,0
21,SURYAKUMAR YADAV,BANGLADESH,HYDERABAD,T20I,75,35,8,5
22,SURYAKUMAR YADAV,BANGLADESH,DUBAI,T20I,5,11,0,0
23,SURYAKUMAR YADAV,ENGLAND,AHMEDABAD,T20I,0,0,0,0
24,SURYAKUMAR YADAV,ENGLAND,AHMEDABAD,T20I,57,31,6,3
25,SURYAKUMAR YADAV,ENGLAND,AHMEDABAD,T20I,32,17,3,2
26,SURYAKUMAR YADAV,ENGLAND,SOUTHAMPTON,T20I,39,19,4,2
27,SURYAKUMAR YADAV,ENGLAND,BIRMINGHAM,T20I,15,11,2,0
28,SURYAKUMAR YADAV,ENGLAND,NOTTINGHAM,T20I,117,55,14,6
29,SURYAKUMAR YADAV,ENGLAND,ADELAIDE,T20I,14,10,1,1
30,SURYAKUMAR YADAV,ENGLAND,PROVIDENCE,T20I,47,36,4,2
31,SURYAKUMAR YADAV,ENGLAND,EDEN GARDENS,T20I,0,3,0,0
32,SURYAKUMAR YADAV,ENGLAND,CHENNAI,T20I,12,7,3,0
33,SURYAKUMAR YADAV,ENGLAND,RAJKOT,T20I,14,7,1,1
34,SURYAKUMAR YADAV,ENGLAND,PUNE,T20I,0,4,0,0
35,SURYAKUMAR YADAV,ENGLAND,WANKHEDE,T20I,2,3,0,0
36,SURYAKUMAR YADAV,HONG KONG,DUBAI,T20I,68,26,6,6
37,SURYAKUMAR YADAV,IRELAND,DUBLIN,T20I,0,1,0,0
38,SURYAKUMAR YADAV,IRELAND,DUBLIN,T20I,15,5,2,1
39,SURYAKUMAR YADAV,IRELAND,NEW YORK,T20I,2,4,0,0
40,SURYAKUMAR YADAV,NAMIBIA,DUBAI,T20I,25,19,4,0
41,SURYAKUMAR YADAV,NAMIBIA,DELHI,T20I,12,13,0,1
42,SURYAKUMAR YADAV,NETHERLANDS,SYDNEY,T20I,51,25,7,1
43,SURYAKUMAR YADAV,NETHERLANDS,AHMEDABAD,T20I,34,28,2,1
44,SURYAKUMAR YADAV,NEW ZEALAND,RANCHI,T20I,47,34,6,2
45,SURYAKUMAR YADAV,NEW ZEALAND,LUCKNOW,T20I,26,31,1,0
46,SURYAKUMAR YADAV,NEW ZEALAND,AHMEDABAD,T20I,24,13,1,2
47,SURYAKUMAR YADAV,NEW ZEALAND,NAGPUR,T20I,32,22,4,1
48,SURYAKUMAR YADAV,NEW ZEALAND,RAIPUR,T20I,82,37,9,4
49,SURYAKUMAR YADAV,NEW ZEALAND,GUWAHATI,T20I,57,26,6,3
50,SURYAKUMAR YADAV,NEW ZEALAND,VISAKHAPATNAM,T20I,8,8,2,0
51,SURYAKUMAR YADAV,NEW ZEALAND,THIRUVANANTHAPURAM,T20I,63,30,4,6
52,SURYAKUMAR YADAV,SRI LANKA,WANKHEDE,T20I,7,10,1,0
53,SURYAKUMAR YADAV,SRI LANKA,PUNE,T20I,51,36,3,3
54,SURYAKUMAR YADAV,SRI LANKA,RAJKOT,T20I,112,51,7,9
55,SURYAKUMAR YADAV,SRI LANKA,PALLEKELE,T20I,58,26,8,2
56,SURYAKUMAR YADAV,SRI LANKA,PALLEKELE,T20I,26,12,4,1
57,SURYAKUMAR YADAV,SRI LANKA,PALLEKELE,T20I,8,9,1,0
58,SURYAKUMAR YADAV,SRI LANKA,DUBAI,T20I,12,13,1,0
59,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,11,8,1,1
60,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,18,18,1,0
61,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,13,10,2,0
62,SURYAKUMAR YADAV,PAKISTAN,MELBOURNE,T20I,15,10,2,0
63,SURYAKUMAR YADAV,PAKISTAN,NEW YORK,T20I,7,8,1,0
64,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,47,37,5,1
65,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,0,3,0,0
66,SURYAKUMAR YADAV,PAKISTAN,DUBAI,T20I,1,5,0,0
67,SURYAKUMAR YADAV,PAKISTAN,COLOMBO,T20I,32,29,3,0
68,SURYAKUMAR YADAV,SOUTH AFRICA,DURBAN,T20I,21,17,2,1
69,SURYAKUMAR YADAV,SOUTH AFRICA,DQEBERHA,T20I,4,9,0,0
70,SURYAKUMAR YADAV,SOUTH AFRICA,CENTURION,T20I,1,4,0,0
71,SURYAKUMAR YADAV,SOUTH AFRICA,CUTTACK,T20I,12,11,2,0
