,MATCH_ID,PLAYER_NAME,OPPONENT_TEAM,VENUE,MATCH_FORMAT,RUNS_SCORED,BALLS_FACED,FOURS,SIXES,STRIKE RATE,BOUNDARY
0,1,SURYAKUMAR YADAV,AFGHANISTAN,ABU DHABI,T20I,0,0,0,0,,
1,2,SURYAKUMAR YADAV,AFGHANISTAN,DUBAI,T20I,6,2,0,1,300.0,50.0
2,3,SURYAKUMAR YADAV,AFGHANISTAN,BRIDGETOWN,T20I,53,28,5,3,189.28571428571428,28.57142857142857
3,4,SURYAKUMAR YADAV,AUSTRALIA,MOHALI,T20I,46,25,2,4,184.0,24.0
4,5,SURYAKUMAR YADAV,AUSTRALIA,NAGPUR,T20I,0,1,0,0,0.0,0.0
5,6,SURYAKUMAR YADAV,AUSTRALIA,HAYDERABAD,T20I,69,36,5,5,191.66666666666669,27.77777777777778
6,7,SURYAKUMAR YADAV,AUSTRALIA,VISAKHAPATNAM,T20I,80,42,9,4,190.47619047619045,30.952380952380953
7,8,SURYAKUMAR YADAV,AUSTRALIA,THIRUVANANTHAPURAM,T20I,19,10,0,2,190.0,20.0
8,9,SURYAKUMAR YADAV,AUSTRALIA,GUWAHATI,T20I,39,29,5,2,134.48275862068965,24.137931034482758
9,10,SURYAKUMAR YADAV,AUSTRALIA,RAIPUR,T20I,1,2,0,0,50.0,0.0
10,11,SURYAKUMAR YADAV,AUSTRALIA,BENGALURU,T20I,5,7,0,0,71.42857142857143,0.0
11,12,SURYAKUMAR YADAV,AUSTRALIA,GROS ISLET,T20I,31,16,3,2,193.75,31.25
12,13,SURYAKUMAR YADAV,AUSTRALIA,CANBERRA,T20I,39,24,3,2,162.5,20.833333333333336
13,14,SURYAKUMAR YADAV,AUSTRALIA,MELBOURNE,T20I,1,4,0,0,25.0,0.0
14,15,SURYAKUMAR YADAV,AUSTRALIA,HOBART,T20I,24,11,1,2,218.18181818181816,27.27272727272727
15,16,SURYAKUMAR YADAV,AUSTRALIA,CARRAR,T20I,20,10,0,2,200.0,20.0
16,17,SURYAKUMAR YADAV,BANGLADESH,ADELAIDE,T20I,30,16,4,0,187.5,25.0
17,18,SURYAKUMAR YADAV,BANGLADESH,NORTH SOUND,T20I,6,2,0,1,300.0,50.0
18,19,SURYAKUMAR YADAV,BANGLADESH,GWALIOR,T20I,29,14,2,3,207.14285714285717,35.714285714285715
19,20,SURYAKUMAR YADAV,BANGLADESH,DELHI,T20I,8,10,1,0,80.0,10.0
20,21,SURYAKUMAR YADAV,BANGLADESH,HYDERABAD,T20I,75,35,8,5,214.28571428571428,37.142857142857146
21,22,SURYAKUMAR YADAV,BANGLADESH,DUBAI,T20I,5,11,0,0,45.45454545454545,0.0
22,23,SURYAKUMAR YADAV,ENGLAND,AHMEDABAD,T20I,0,0,0,0,,
23,24,SURYAKUMAR YADAV,ENGLAND,AHMEDABAD,T20I,57,31,6,3,183.8709677419355,29.03225806451613
24,25,SURYAKUMAR YADAV,ENGLAND,AHMEDABAD,T20I,32,17,3,2,188.23529411764704,29.411764705882355
25,26,SURYAKUMAR YADAV,ENGLAND,SOUTHAMPTON,T20I,39,19,4,2,205.26315789473685,31.57894736842105
26,27,SURYAKUMAR YADAV,ENGLAND,BIRMINGHAM,T20I,15,11,2,0,136.36363636363635,18.181818181818183
27,28,SURYAKUMAR YADAV,ENGLAND,NOTTINGHAM,T20I,117,55,14,6,212.72727272727275,36.36363636363637
28,29,SURYAKUMAR YADAV,ENGLAND,ADELAIDE,T20I,14,10,1,1,140.0,20.0
29,30,SURYAKUMAR YADAV,ENGLAND,PROVIDENCE,T20I,47,36,4,2,130.55555555555557,16.666666666666664
30,31,SURYAKUMAR YADAV,ENGLAND,EDEN GARDENS,T20I,0,3,0,0,0.0,0.0
31,32,SURYAKUMAR YADAV,ENGLAND,CHENNAI,T20I,12,7,3,0,171.42857142857142,42.857142857142854
32,33,SURYAKUMAR YADAV,ENGLAND,RAJKOT,T20I,14,7,1,1,200.0,28.57142857142857
33,34,SURYAKUMAR YADAV,ENGLAND,PUNE,T20I,0,4,0,0,0.0,0.0
34,35,SURYAKUMAR YADAV,ENGLAND,WANKHEDE,T20I,2,3,0,0,66.66666666666666,0.0
35,36,SURYAKUMAR YADAV,HONG KONG,DUBAI,T20I,68,26,6,6,261.53846153846155,46.15384615384615
36,37,SURYAKUMAR YADAV,IRELAND,DUBLIN,T20I,0,1,0,0,0.0,0.0
37,38,SURYAKUMAR YADAV,IRELAND,DUBLIN,T20I,15,5,2,1,300.0,60.0
